,WikipediaPageName,links
38,Blxst,"['Ty Dolla Sign', 'Kendrick Lamar', 'YG (rapper)', 'Problem (rapper)', 'Ty Dolla Sign', 'Dom Kennedy', 'Drakeo the Ruler', 'Kendrick Lamar', 'Ty Dolla Sign', 'Nate Dogg', 'Ty Dolla Sign', 'Drakeo the Ruler', 'Kendrick Lamar', 'YG (rapper)', 'Blueface', 'Buddy (rapper)', 'Snoop Dogg', 'Joey Fatts', 'E-40', 'Drakeo the Ruler', 'Nas', 'Kendrick Lamar', 'Kendrick Lamar', 'YG (rapper)', 'Problem (rapper)', 'Casey Veggies', 'Dom Kennedy', 'Ty Dolla Sign', 'Drakeo the Ruler', 'Blueface']"
39,Bones (rapper),['ASAP Rocky']
40,Braille (musician),"['Ohmega Watts', 'Ohmega Watts', 'Ohmega Watts']"
41,Buddy (rapper),"['Nipsey Hussle', 'Snoop Dogg', 'Wiz Khalifa', 'Kendrick Lamar', 'Nipsey Hussle', 'Wiz Khalifa', 'DJ Khalil', 'Nipsey Hussle', 'Joey Badass', 'Ty Dolla Sign', 'Nipsey Hussle', 'DJ Quik', 'Problem (rapper)', 'Wiz Khalifa', 'ASAP Rocky', 'Cousin Stizz', 'Cozz', 'Cozz', 'Asher Roth', 'Terrace Martin']"
42,Busdriver,"['Nocando', 'Nobody (producer)', 'Myka 9', 'Nocando', 'Aesop Rock', 'Nobody (producer)', 'Flash Bang Grenada', 'Nocando', 'Flying Lotus', 'Aesop Rock', ""Haiku d'Etat"", 'K-the-I???', 'Myka 9', 'Nocando', 'Sole (hip hop artist)', 'Abstract Rude', 'Ceschi', 'Sole (hip hop artist)']"
43,Scott Caan,"['The Alchemist (musician)', 'The Alchemist (musician)', 'Evidence (musician)']"
44,Sway Calloway,"['King Tech', 'Ras Kass', 'RZA', 'Xzibit', 'Kool G Rap', 'KRS-One', 'Big Daddy Kane', 'Pharoahe Monch']"
45,Nick Cannon,"['Will Smith', 'Fat Joe']"
46,Captain Save 'Em,[]
47,Clyde Carson,"['The Game (rapper)', 'Ty Fyffe', 'Jay-Z', ""Cam'ron"", 'Keak da Sneak', 'The Game (rapper)', 'E-40', 'Dom Kennedy', 'Iamsu!', 'Problem (rapper)', 'B-Legit', 'Ya Boy', 'Too Short']"
48,Celestaphone,"['MC Paul Barman', 'MC Paul Barman']"
49,DJ Cheapshot,['Mike Shinoda']
50,Tha Chill,"['MC Eiht', 'Kurupt', 'Kokane', 'MC Eiht', 'Kokane', 'RBX', 'Kurupt', 'King T', 'Sir Jinx']"
51,Shawn Chrystopher,"['Buddy (rapper)', 'Mann (rapper)', 'Mann (rapper)', 'N.O.R.E.', 'Dom Kennedy', 'Dom Kennedy']"
52,Chanel West Coast,"['Snoop Dogg', 'French Montana', 'YG (rapper)', 'Tupac Shakur', 'Snoop Dogg', 'French Montana', 'YG (rapper)', 'B-Real', 'French Montana', 'Frenchie (rapper)', 'Too Short']"
53,Conceit (rapper),"['50 Cent', ""Ol' Dirty Bastard"", 'KRS-One', 'Fatlip']"
54,Coolio,"['WC (rapper)', 'B-Real', 'Method Man', 'Busta Rhymes', 'Biz Markie', 'Fat Joe', 'Snoop Dogg', 'Melle Mel', 'Yo-Yo (rapper)', ""Shaquille O'Neal""]"
55,Cozz,"['Pusha T', 'YG (rapper)', 'Kendrick Lamar', 'Reason (American rapper)', 'YG (rapper)', 'Reason (American rapper)', 'Smoke DZA', 'Reason (American rapper)', 'Buddy (rapper)']"
56,Crooked I,"['Joe Budden', 'Joell Ortiz', 'Snoop Dogg', 'Daz Dillinger', 'Dr. Dre', 'Dr. Dre', 'Ja Rule', 'DJ Whoo Kid', 'Joe Budden', 'Joell Ortiz', 'The Alchemist (musician)', 'DJ Khalil', 'Pharoahe Monch', 'Snoop Dogg', 'Joe Budden', 'Joell Ortiz', 'DJ Khalil', 'DJ Premier', 'Too Short', 'Kurupt', 'Jay Rock', 'Glasses Malone', 'Mistah F.A.B.', 'Kokane', 'DJ Whoo Kid', 'Joell Ortiz', 'Joell Ortiz', 'Statik Selektah', 'Joell Ortiz']"
57,Omega Crosby,"['Clyde Carson', 'Mayne Mannish', 'Clyde Carson', 'Mayne Mannish', 'Clyde Carson']"
58,Cut Chemist,"['Biz Markie', 'Mr. Lif', 'Myka 9', 'Percee P', 'Mr. Lif']"
59,D-Loc,['Saint Dog']
60,The D.O.C.,"['Dr. Dre', 'Eazy-E', 'Snoop Dogg', 'Eazy-E', 'Dr. Dre', 'Dr. Dre', 'Eazy-E', 'Dr. Dre', 'Snoop Dogg', 'Eazy-E', 'Ice Cube', 'Ice Cube', 'Ceschi', 'Shyne', 'Dr. Dre']"
61,Daddy X,[]
62,DJ Dahi,"['Dom Kennedy', 'Kendrick Lamar', 'Mac Miller', 'Vince Staples', 'Kendrick Lamar', 'Kendrick Lamar', 'Dr. Dre', 'Mac Miller', 'Nas', 'Baby Keem', 'Pusha T', 'Schoolboy Q', 'Vince Staples', 'Fashawn', 'Dom Kennedy', 'Schoolboy Q', 'Kendrick Lamar', 'Dr. Dre', 'Tyler, the Creator', 'Dom Kennedy', 'E-40', 'Schoolboy Q', 'Ty Dolla Sign', 'Pusha T', 'Mac Miller', 'Tyler, the Creator', 'Problem (rapper)', 'Dom Kennedy', 'Fashawn', 'Wiz Khalifa', 'Kendrick Lamar', 'Jay Rock', 'Mac Miller', 'Kurupt', 'Schoolboy Q', 'Skeme', 'Smoke DZA', 'Casey Veggies', 'Dom Kennedy', 'Nipsey Hussle', 'Schoolboy Q', 'Smoke DZA', 'Ab-Soul', 'Kendrick Lamar', 'Ab-Soul', 'Curtiss King', 'DJ Khalil', 'Ab-Soul', 'Glasses Malone', 'Ab-Soul', 'Kid Ink', 'E-40', 'Dom Kennedy', 'Vince Staples', 'Dr. Dre', 'DJ Khalil', 'Kendrick Lamar', 'Focus...', 'Cardiak', 'Mac Miller', 'Joe Budden', 'Pusha T', 'Schoolboy Q', 'Vince Staples', 'ASAP Rocky', 'Mac Miller', 'Ty Dolla Sign', 'Sounwave', 'Kendrick Lamar', 'Sounwave', 'Terrace Martin', 'DJ Khalil', 'Lecrae', 'Sounwave', 'Vince Staples', 'Kyle (musician)', 'Wiz Khalifa', 'Mac Miller', 'Jake One', 'G Koop', 'Sounwave', 'Jake One', 'Baby Keem', 'Sounwave', 'Baby Keem', 'Nas', 'DJ Khalil', 'Hit-Boy', 'Sounwave', 'Sounwave', 'Baby Keem', 'Baby Keem', 'Sounwave', 'Baby Keem', 'Mac Miller', 'Vince Staples', 'Kendrick Lamar', 'Blxst', 'Blxst', 'Baby Keem', 'Sounwave', 'Sounwave', 'Sounwave', 'Kendrick Lamar', 'Sounwave', 'Sounwave', 'Tyler, the Creator', 'Ab-Soul']"
63,Dazzie Dee,"['Ice Cube', 'Dr. Dre', 'Sir Jinx', 'Coolio', 'Shade Sheist', 'Tha Chill', 'Kool G Rap', 'Yo-Yo (rapper)', 'Suga Free', 'DJ Quik', 'Ice Cube', 'Shade Sheist', 'Kool G Rap', 'Coolio', 'Yo-Yo (rapper)', 'Dr. Dre', 'Sir Jinx', 'Ice Cube', 'Coolio', 'Kool G Rap', 'Suga Free', 'Spice 1', 'MC Eiht']"
64,DB Tha General,[]
65,Del the Funky Homosapien,"['Ice Cube', 'Ice Cube', 'Black Thought', 'Murs (rapper)', 'Fashawn', 'Sleep (rapper)', 'Gift of Gab (rapper)']"
66,Timothy DeLaGhetto,"['Dumbfoundead', 'MC Jin', 'Will Smith', 'MC Jin', 'Dumbfoundead', 'Nick Cannon']"
67,Demrick,"['B-Real', 'Kurupt', 'Xzibit', 'Dizzy Wright', 'Xzibit', 'Kurupt', 'Snoop Dogg', 'B-Real', 'DJ Skee', 'Scoop DeVille', 'Dizzy Wright', 'DJ Skee', 'Scoop DeVille', 'Xzibit', 'B-Real', 'Dizzy Wright', 'B-Real', 'Xzibit', 'Snoop Dogg', 'The Game (rapper)', 'Crooked I', 'Slim the Mobster', 'Bishop Lamont', 'B-Real', 'Berner (rapper)', 'Kurupt', 'B-Legit', 'Dizzy Wright', 'Chris Webby', 'Sammy Adams', 'Dizzy Wright']"
68,Den Fenn,[]
69,Scoop DeVille,"['Kendrick Lamar', 'Snoop Dogg', 'Frost (rapper)', 'Kendrick Lamar', 'Dr. Dre', 'Snoop Dogg', 'Nipsey Hussle', '50 Cent', 'Busta Rhymes', 'Fat Joe', 'Jay-Z', 'Frost (rapper)', 'Kendrick Lamar', 'Dr. Dre', 'Kendrick Lamar', 'Snoop Dogg', 'Jay-Z', '50 Cent', 'Fat Joe', 'Busta Rhymes', 'Vince Staples', 'Buddy (rapper)', 'Snoop Dogg', 'Too Short', 'Mistah F.A.B.', 'Snoop Dogg', 'Fat Joe', 'Snoop Dogg', 'Tony Yayo', '50 Cent', 'Kendrick Lamar', 'Dr. Dre', 'Busta Rhymes']"
70,Daz Dillinger,"['Kurupt', 'Dr. Dre', 'Snoop Dogg', 'Dr. Dre', 'Kurupt', 'Eazy-E', 'Tupac Shakur', 'Nate Dogg', 'Nate Dogg', 'Soopafly', 'B-Legit', 'Capone (rapper)']"
71,Nate Dogg,"['Snoop Dogg', 'Warren G', 'Dr. Dre', 'Xzibit', '50 Cent', 'Fabolous', 'Mos Def', 'Warren G', 'Snoop Dogg', 'Dr. Dre', '50 Cent', 'Tupac Shakur', 'Mos Def', 'Fabolous', 'Kurupt', 'Houston (singer)', 'Xzibit', 'Dr. Dre', 'Snoop Dogg', 'Warren G']"
72,Snoop Dogg,"['Daz Dillinger', 'Nate Dogg', 'RBX', 'Dr. Dre', 'Nate Dogg', 'Warren G', 'Dr. Dre', 'The D.O.C.', 'Dr. Dre', 'Daz Dillinger', 'Kurupt', 'Nate Dogg', 'Tupac Shakur', 'Tupac Shakur', 'Daz Dillinger', 'Warren G', 'Nate Dogg', 'Xzibit', 'Coolio', 'E-40', 'E-40', 'Benzino', 'Benzino', 'DJ Drama', 'Too Short', 'Warren G', 'Kurupt', 'Lil Dicky', 'Dr. Dre', 'Kendrick Lamar', 'Benny the Butcher', 'Kool Moe Dee', 'Kool Moe Dee', 'The D.O.C.', 'Kool Moe Dee', 'Ice Cube', 'Tupac Shakur', 'The Notorious B.I.G.', 'Dr. Dre', 'Jay-Z', 'The Game (rapper)', 'Warren G', 'The Game (rapper)', 'Soopafly', 'Kendrick Lamar']"
73,Dolla Will,[]
74,Domino (rapper),"['Biz Markie', 'Fat Joe', 'Snoop Dogg']"
75,Drakeo the Ruler,"['03 Greedo', 'Skeme', 'YG (rapper)', 'Snoop Dogg', '50 Cent', 'Ice Cube', 'Wiz Khalifa']"
76,Dr. Dre,"['Sir Jinx', 'Warren G', 'Snoop Dogg', 'Warren G', 'Daz Dillinger', '50 Cent', 'Snoop Dogg', 'Xzibit', 'The Game (rapper)', 'Kendrick Lamar', 'Tairrie B', 'Warren G', 'Sir Jinx', 'Grandmaster Flash', 'Ice Cube', 'Eazy-E', 'Ice-T', 'Snoop Dogg', 'Kurupt', 'Daz Dillinger', 'RBX', 'Nate Dogg', 'Tupac Shakur', 'Nas', 'Jay-Z', 'Snoop Dogg', 'Kurupt', 'Xzibit', 'Nate Dogg', 'King T', 'Kokane', '50 Cent', 'The Game (rapper)', 'DJ Khalil', 'RZA', 'Jay-Z', 'Snoop Dogg', 'DJ Skee', 'Jay-Z', 'Jay-Z', 'Slim the Mobster', 'Kendrick Lamar', '50 Cent', 'The Game (rapper)', 'DJ Quik', 'Sean Combs', 'Snoop Dogg', 'Kendrick Lamar', 'Snoop Dogg', 'Kendrick Lamar', '50 Cent', 'Ice-T', 'Busta Rhymes', 'Treach', 'Sean Combs', 'Daz Dillinger', 'Warren G', 'Sam Sneed', 'Sam Sneed', 'Busta Rhymes', 'Mark Batson', 'Q-Tip (musician)', 'Bishop Lamont', 'Bishop Lamont', 'Joell Ortiz', 'Rakim', 'Daz Dillinger', 'Mark Batson', 'RBX', 'Jay-Z', 'Snoop Dogg', 'Ice Cube', '50 Cent', 'Tairrie B', 'Snoop Dogg', 'Tupac Shakur', 'Queen Pen', 'Snoop Dogg', 'Kurupt', 'Nate Dogg', '50 Cent', '50 Cent', 'Tupac Shakur']"
77,Droop-E,"['E-40', 'E-40', 'B-Legit', 'Suga-T', 'Mack 10', 'Mistah F.A.B.', 'Messy Marv', 'Mistah F.A.B.', 'E-40', 'E-40', 'E-40', 'Wiz Khalifa', 'Mugzi', 'JT the Bigga Figga', 'Kendrick Lamar', 'San Quinn', 'Keak da Sneak', 'Suga Free', 'B-Legit', 'Ya Boy', 'Mac Mall', 'Mac Shawn', 'Messy Marv', 'Clyde Carson', 'Keak da Sneak']"
78,DTTX (rapper),[]
79,Dubb 20,[]
80,Dumbfoundead,"['Psychosiz', 'Jay Park', 'ASAP Ferg', 'Jay Park', 'Tiger JK', 'Tiger JK', 'Jay Park', 'Grieves']"
81,Duna (rapper),[]
82,E-40,"['Droop-E', 'B-Legit', 'Too Short', 'Spice 1', 'Ant Banks', 'Tupac Shakur', 'Mac Mall', 'Droop-E', 'Droop-E', 'The Game (rapper)', 'Too Short', 'Snoop Dogg', 'Too Short', 'Too Short', 'YG (rapper)', 'Iamsu!', 'Kendrick Lamar', 'Schoolboy Q', 'Lecrae', 'Blueface', 'YG (rapper)', 'Droop-E', 'Droop-E', 'B-Legit', 'Suga-T', 'B-Legit', 'Suga-T', 'Droop-E']"
83,Eazy-E,"['The D.O.C.', 'Kokane', 'Ice Cube', 'Dr. Dre', 'The D.O.C.', 'Ice Cube', 'Ice-T', 'Schoolly D', 'Kokane', 'B.G. Knocc Out', 'Dr. Dre']"
84,MC Eiht,"['KRS-One', 'The Unknown DJ', 'Tha Chill', 'DJ Quik', 'DJ Quik', 'Spice 1', 'Brotha Lynch Hung', 'Snoop Dogg', 'Kam (rapper)', 'Snoop Dogg', 'Young Maylay', 'DJ Premier', 'Kendrick Lamar', 'DJ Premier', 'DJ Premier', 'DJ Quik', 'Tupac Shakur', 'The Notorious B.I.G.', 'Snoop Dogg', 'Daz Dillinger', 'Nas']"
85,Eprhyme,['Kosha Dillz']
86,Evidence (musician),"['Domo Genesis', 'The Alchemist (musician)', 'The Alchemist (musician)', 'Jake One', 'DJ Babu', 'DJ Khalil', 'The Alchemist (musician)']"
87,Exile (producer),"['Fashawn', 'Aloe Blacc', 'Madlib', 'Fashawn', 'Aloe Blacc', 'Soopafly', 'Flying Lotus', 'Asher Roth', 'Fashawn', 'Pharoahe Monch', 'Snoop Dogg', 'Wiz Khalifa']"
88,Fashawn,"['Nas', 'Evidence (musician)', 'Murs (rapper)', 'Exile (producer)', 'Aloe Blacc', 'Exile (producer)', 'Nas', 'Wiz Khalifa', 'Evidence (musician)', 'Murs (rapper)', 'Aloe Blacc', 'Nas', 'Ghostface Killah', 'Exile (producer)', 'Wiz Khalifa', 'Nipsey Hussle', 'Jay Rock', 'Talib Kweli', 'Murs (rapper)', 'Kendrick Lamar', 'Nas', 'Bishop Nehru', 'Nas', 'The Alchemist (musician)', 'Aloe Blacc', 'Nas', 'Nas', 'Aloe Blacc', 'Dom Kennedy', 'Exile (producer)', 'The Alchemist (musician)', 'DJ Khalil', 'Black Thought', 'Murs (rapper)', 'Del the Funky Homosapien']"
89,Fatlip,"['Shock G', 'KRS-One', ""Ol' Dirty Bastard"", 'Method Man', 'E-40', 'Samuel T. Herring', 'Percee P', 'Phil Da Agony', 'RBX']"
90,Joey Fatts,"['Vince Staples', 'Vince Staples', 'ASAP Rocky', 'ASAP Ferg', 'ASAP Rocky', 'Vince Staples', 'Vince Staples', 'Snoop Dogg', 'The Game (rapper)']"
91,Kevin Federline,"['John Cena', 'Ya Boy']"
92,Roshon Fegan,[]
93,JT the Bigga Figga,"['Daz Dillinger', 'DJ King Assassin', 'The Game (rapper)', 'Mac Mall', 'Messy Marv', 'San Quinn', 'Young Noble', 'Daz Dillinger', 'The Game (rapper)', 'San Quinn', 'Messy Marv', 'The Game (rapper)', 'Dr. Dre', 'Snoop Dogg', 'Xzibit', '50 Cent', 'Mac Mall', 'Mac Mall', 'Daz Dillinger', 'Daz Dillinger', 'Young Noble', 'Daz Dillinger', 'Mac Mall', 'San Quinn', 'Messy Marv', 'Mac Dre', 'Coolio', 'Luni Coleone', 'Mac Mall', 'San Quinn', 'Lil Ric', ""Rappin' 4-Tay"", 'San Quinn', 'Messy Marv', 'Mac Dre', 'San Quinn', 'Mac Mall', 'Mac Dre', 'Lil Ric', 'Messy Marv', 'San Quinn', 'San Quinn', 'Yukmouth', 'Sleep Dank', 'San Quinn', 'Daz Dillinger', 'Young Noble', 'E-40', 'Daz Dillinger', 'Messy Marv', 'Daz Dillinger', 'Snoop Dogg', 'San Quinn', 'Messy Marv', ""Rappin' 4-Tay"", 'Mac Mall', 'Ya Boy', 'Mistah F.A.B.', 'Keak da Sneak', 'Mr. Skrillz', 'Messy Marv', 'Mr. Skrillz', 'The Jacka', 'E-40']"
94,Flash Bang Grenada,"['Busdriver', 'Nocando', 'Busdriver', 'Nocando', 'Del the Funky Homosapien']"
95,Flying Lotus,"['Earl Sweatshirt', 'Hodgy', 'Kendrick Lamar', 'Mac Miller', 'MF Doom', 'Mac Miller', 'Clams Casino (musician)', 'Tyler, the Creator', 'Kendrick Lamar', 'Snoop Dogg', 'Busdriver']"
96,Shawn Fonteno,"['Young Maylay', 'Young Maylay']"
97,Foreknown (rapper),['JGivens']
98,Dave Free,"['Kendrick Lamar', 'Kendrick Lamar', 'Sounwave', 'Willie B (producer)', 'Jay Rock', 'Schoolboy Q', 'Ab-Soul', 'Punch (rapper)', 'Baby Keem', 'Kendrick Lamar', 'Kendrick Lamar', 'Schoolboy Q', 'Ab-Soul', 'Schoolboy Q', 'Sounwave', 'Kendrick Lamar']"
99,Mike Free,"['Dom Kennedy', 'YG (rapper)', 'O.T. Genasis', 'E-40', 'Ty Dolla Sign', 'YG (rapper)', 'Ty Dolla Sign', 'YG (rapper)', 'Kid Ink', 'French Montana', 'Wiz Khalifa', 'Ty Dolla Sign', 'TeeFlii', 'Snoop Dogg', 'French Montana', 'E-40', 'Cozz', 'Wiz Khalifa', 'ASAP Ferg', 'Nipsey Hussle', 'O.T. Genasis', '03 Greedo', 'Meek Mill', 'Dom Kennedy', 'Problem (rapper)', '03 Greedo', 'Blxst']"
100,Fresh Kid Ice,"['Mr. Mixx', 'Brother Marquis', 'Mr. Mixx', 'Brother Marquis']"
101,DJ Fresh (American DJ),"['Yukmouth', 'Nas', 'Yukmouth', 'Mitchy Slick', 'E-40', 'Shady Nate', 'Mitchy Slick', 'Mitchy Slick', 'Kendrick Lamar']"
102,MC Frontalot,"['MC Lars', 'MC Lars', 'MC Lars']"
103,Frost (rapper),"['Scoop DeVille', 'Ice-T', 'Dr. Dre', 'MC Eiht', 'Eazy-E', 'Kokane', 'Ice-T', 'Domino (rapper)', 'Kurupt', 'King T', 'Xzibit', 'B-Legit', 'Daz Dillinger', 'Snoop Dogg', 'B-Real']"
104,Futuristic (rapper),"['Dizzy Wright', 'Kyle (musician)', 'Chris Webby', 'Dizzy Wright', 'Chris Webby', 'Hopsin', 'Chris Webby', 'Justina Valentine']"
105,The Futuristics,"['The Game (rapper)', 'Wiz Khalifa', 'Sage the Gemini', 'The Game (rapper)', 'Wiz Khalifa', 'Kid Ink', 'Sage the Gemini', 'Skizzy Mars', 'Saweetie', 'D Smoke', 'The Futuristics']"
106,G-Nut,[]
107,G-Stack,[]
108,The Game (rapper),"['50 Cent', 'Dr. Dre', 'JT the Bigga Figga', 'JT the Bigga Figga', 'Dr. Dre', 'Sway Calloway', 'Big Fase 100', 'Glasses Malone', 'JT the Bigga Figga', 'Sean Combs', 'Dr. Dre', '50 Cent', 'Lloyd Banks', 'Fabolous', 'Sean Combs', ""Cam'ron"", 'Eazy-E', 'Young Noble', 'DJ Whoo Kid', 'Eazy-E', '50 Cent', 'Fat Joe', 'Jadakiss', 'Ja Rule', 'Spider Loc', 'Tony Yayo', 'Memphis Bleek', 'Jay-Z', 'Ja Rule', 'Funkmaster Flex', 'Jay-Z', 'Dr. Dre', 'Sean Combs', 'Snoop Dogg', 'Dr. Dre', '50 Cent', 'Wiz Khalifa', 'Dr. Dre', 'Dr. Dre', 'Nipsey Hussle', 'Too Short', 'Schoolboy Q', 'Problem (rapper)', 'Dr. Dre', 'Just Blaze', 'Meek Mill', 'Beanie Sigel', 'N.O.R.E.', 'ASAP Rocky', 'YG (rapper)', 'Eazy-E', 'Skeme', 'Snoop Dogg', 'Soopafly', '40 Glocc', '50 Cent', '50 Cent']"
109,GaTa,"['Lil Dicky', 'Schoolboy Q', 'Lil Dicky', 'Schoolboy Q', 'Lil Dicky']"
